Summary Orientations,,,,,,,,Core Orientations,,,,,,,,,,,,,,,,,,,,,,,,Block Orientations,,,,,,,,,,,,,,,,,,,,,,,
site,specimen,old_mag_core_strike,old_core_dip,new_mag_core_strike,new_core_dip,strike_correction,dip_correction,specimen,sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike,specimen,sample_name,comment,strat_level,magnetic_block_strike,block_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,block_shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_block_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec_block,block_strike,corrected_bedding_strike
NWFB,NWFB-1H,177,8,105.2,12,-71.8,4,NWFB-1H,1,mag compass orientation (IGRF corrected),0,106.6,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,105.2,nan,NWFB-1H,1,mag compass orientation (IGRF corrected),0,108,12,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,106.6,nan
NWFB,NWFB-2A,98,36,298.2,52,200.2,16,NWFB-2A,2,mag compass orientation (IGRF corrected),0,299.6,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,298.2,nan,NWFB-2A,2,mag compass orientation (IGRF corrected),0,301,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,299.6,nan
NWFB,NWFB-2B,98,36,298.2,52,200.2,16,NWFB-2B,2,mag compass orientation (IGRF corrected),0,299.6,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,298.2,nan,NWFB-2B,2,mag compass orientation (IGRF corrected),0,301,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,299.6,nan
NWFB,NWFB-2C,98,36,298.2,52,200.2,16,NWFB-2C,2,mag compass orientation (IGRF corrected),0,299.6,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,298.2,nan,NWFB-2C,2,mag compass orientation (IGRF corrected),0,301,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,299.6,nan
NWFB,NWFB-2D,98,36,298.2,52,200.2,16,NWFB-2D,2,mag compass orientation (IGRF corrected),0,299.6,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,298.2,nan,NWFB-2D,2,mag compass orientation (IGRF corrected),0,301,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,299.6,nan
NWFB,NWFB-2E,98,36,298.2,52,200.2,16,NWFB-2E,2,mag compass orientation (IGRF corrected),0,299.6,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,298.2,nan,NWFB-2E,2,mag compass orientation (IGRF corrected),0,301,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,299.6,nan
NWFB,NWFB-2F,98,36,298.2,52,200.2,16,NWFB-2F,2,mag compass orientation (IGRF corrected),0,299.6,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,298.2,nan,NWFB-2F,2,mag compass orientation (IGRF corrected),0,301,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,299.6,nan
NWFB,NWFB-2G,98,36,298.2,52,200.2,16,NWFB-2G,2,mag compass orientation (IGRF corrected),0,299.6,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,298.2,nan,NWFB-2G,2,mag compass orientation (IGRF corrected),0,301,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,299.6,nan
NWFB,NWFB-2H,98,36,298.2,52,200.2,16,NWFB-2H,2,mag compass orientation (IGRF corrected),0,299.6,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,298.2,nan,NWFB-2H,2,mag compass orientation (IGRF corrected),0,301,52,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,299.6,nan
NWFB,NWFB-3A,61,63,260.2,29,199.2,-34,NWFB-3A,3,mag compass orientation (IGRF corrected),0,261.6,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,260.2,nan,NWFB-3A,3,mag compass orientation (IGRF corrected),0,263,29,0,0,no,nan,7,2024,3,18,1,1,1,nan,nan,[np.float64(358.6365196078296); np.float64(20.61805552105231); np.float64(43321.216110241934)],-1.363480392,insufficient data,261.6,nan
