tab	samples
sample	site	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	height	geologic_classes	geologic_types	lithologies	analysts	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	location	tilt_correction
NWFB-2D	NWFB	NWFB-2D		mt	18.6	-26.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2E	NWFB	NWFB-2E		lt	16.8	-25.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2E	NWFB	NWFB-2E		mt	18.0	-26.0		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2F	NWFB	NWFB-2F		mt	17.4	-25.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2F	NWFB	NWFB-2F		lt	15.7	-24.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2G	NWFB	NWFB-2G		mt	18.3	-25.9		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2G	NWFB	NWFB-2G		lt	20.1	-22.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-2H	NWFB												0						209.6	0.0	0.0	90.0	-52.0					
NWFB-3	NWFB												0						171.6	0.0	0.0	90.0	-29.0					
NWFB-3A	NWFB												0						171.6	0.0	0.0	90.0	-29.0					
NWFB-3B	NWFB	NWFB-3B		lt	244.2	27.6		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3B	NWFB	NWFB-3B		mt	124.7	-73.7		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3C	NWFB	NWFB-3C		lt	242.6	30.2		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3C	NWFB	NWFB-3C		mt	122.1	-72.6		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3D	NWFB	NWFB-3D		mt	126.3	-73.3		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
NWFB-3D	NWFB	NWFB-3D		lt	247.0	34.1		1	1	0		0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	
