tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	NWF-B	NWF-A-	NWF	NWF-A-5B	NWF-A-5B_LP-DIR-T	shoemake 2025-04-25 18:36:15	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	12.6	290.8	l	g	-8.3	8.5	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-5B	NWF-A-5B_LP-DIR-T	shoemake 2025-04-25 18:36:15	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	0.6	292.0	l	g	-25.3	3.0	9	0
This study	NWF-B	NWF-A-	NWF	NWF-A-5C	NWF-A-5C_LP-DIR-T	shoemake 2025-04-25 18:38:43	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	10.8	103.3	l	g	-42.9	11.1	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-5C	NWF-A-5C_LP-DIR-T	shoemake 2025-04-25 18:38:43	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.4	87.8	l	g	-53.0	2.4	10	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-5C	NWF-A-5C_LP-DIR-T	shoemake 2025-04-25 18:38:43	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	10.8	287.9	l	g	-11.9	11.1	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-5C	NWF-A-5C_LP-DIR-T	shoemake 2025-04-25 18:38:43	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.4	292.9	l	g	-25.5	2.4	10	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1B	NWF-B-1B_LP-DIR-T	shoemake 2025-04-25 18:41:13	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	146.7	273.7	l	g	15.0	24.0	7	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1B	NWF-B-1B_LP-DIR-T	shoemake 2025-04-25 18:41:13	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.9	90.6	l	g	-43.8	4.1	11	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1B	NWF-B-1B_LP-DIR-T	shoemake 2025-04-25 18:41:13	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	146.7	1.4	l	g	14.3	24.0	7	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1B	NWF-B-1B_LP-DIR-T	shoemake 2025-04-25 18:41:13	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.9	183.9	l	g	-43.2	4.1	11	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1C	NWF-B-1C_LP-DIR-T	shoemake 2025-04-25 18:43:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	145.5	270.5	l	g	10.5	20.1	6	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1C	NWF-B-1C_LP-DIR-T	shoemake 2025-04-25 18:43:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.4	92.9	l	g	-43.1	2.7	10	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1C	NWF-B-1C_LP-DIR-T	shoemake 2025-04-25 18:43:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	145.5	357.6	l	g	10.4	20.1	6	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1C	NWF-B-1C_LP-DIR-T	shoemake 2025-04-25 18:43:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	1.4	185.9	l	g	-42.2	2.7	10	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1D	NWF-B-1D_LP-DIR-T	shoemake 2025-04-09 10:56:14	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	103.5	206.9	l	g	-5.9	26.2	6	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1D	NWF-B-1D_LP-DIR-T	shoemake 2025-04-09 10:56:14	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	0.7	95.2	l	g	-43.3	2.6	10	-1
This study	NWF-B	NWF-B-	NWF	NWF-B-1D	NWF-B-1D_LP-DIR-T	shoemake 2025-04-09 10:56:14	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	103.5	292.5	l	g	1.2	26.2	6	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1D	NWF-B-1D_LP-DIR-T	shoemake 2025-04-09 10:56:14	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	753	513	K		2	mt	u	0.7	188.2	l	g	-42.1	2.6	10	0
This study	NWF-B	NWF-B-	NWF	NWF-B-1E	NWF-B-1E_LP-DIR-T	shoemake 2025-04-09 10:58:40	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	12.4	96.9	l	g	-53.4	35.7	6	-1
